번호,정책유형,정책명,정책 요약,주관기관
1111,일자리,월드잡플러스(해외통합정보망),"해외취업을 희망하는 청년들에게 해외일자리 정보, 해외 생활정보, 취업비자 등 다양한 해외취업 정보제공 등을 통해 해외취업 활성화 도모",고용노동부
1112,일자리,민간해외취업알선,민간기관의 인프라를 활용한 양질의 해외일자리 발굴 및 해외취업 희망자와 구인업체간의 알선 지원,고용노동부
1113,일자리,SW마에스트로 과정(전문가 멘토링을 통한 최고급 SW인재 양성),"멘토링, 심화교육 등을 통한 SW융합인재 양성",과학기술정보통신부
1114,주거,행복기숙사(사립),대학생 주거부담 및 주거비 경감을 위하여 월 24만원 이하의 질 좋고 저렴한 행복기숙사 건립ㆍ제공하는 사업,교육부
1115,교육,신기술융합디자인 혁신인재양성사업,"- 신산업 분야 등 산업/경제 구조 변화에 대응한 혁신인재 양성을 위하여, 신기술융합디자인 분야의 대학 체질 개선과 특성화 지원 - 디자인산업 경쟁력 강화를 위해 산업계 수요 기반의 학부 교육과정 개발·운영을 통한 신기술융합디자인 역량을 갖춘 인력양성 및 공급",산업통상자원부
1116,교육,청년고용지원,청년고용정책 지원,고용노동부
1117,주거,보호종료아동 주거지원 통합서비스,"보호종료아동의 성공적인 자립실현을 위한 안정적 주거환경 조성 및 통합 사례관리를 통한 사회, 경제, 심리적 자립생활 기반 구축",보건복지부
1118,교육,4차 산업혁명 선도 인력 양성훈련,급격한 산업구조 개편 및 신산업 분야의 전문 기술인력 수요 증가 등 4차 산업혁명의 변화에 선도적으로 대응하고자 신기술 인력 양성을 위한 융합형 고급훈련과정 운영,고용노동부
1119,주거,위기청소년 특별지원,"보호자가 없거나, 실질적으로 보호자의 보호를 받지 못해 사회,경제적으로 어려움이 있는 위기청소년에게 생활비, 치료비, 학업지원비 등 지원",여성가족부
1120,교육,단기집단상담프로그램,"취업의욕 및 기초 직업능력 향상과정과 구직기술 형상과정으로 이루어진 프로그램으로 장기간(3일~5일)의 프로그램 참여가 어려운 경우, 단기(3~4시간)로 필요한 부분만을 선택하여 수강 할 수 있는 집단상담 프로그램",고용노동부
1121,주거,직업훈련생계비 융자,"고용취약계층(실업자, 비정규직 근로자, 특수형태근로종사자, 무급휴직자, 휴폐업한 자영업자)의 장기간 직업훈련에 따른 생계부담을 경감하고 직업훈련에 전념토록 하기 위해 장기 저리의 생계비 대부 지원",고용노동부
1122,복지.문화,학교 밖 청소년 지원,"학교 밖 청소년의 특성과 욕구를 파악하고 상담, 교육, 직업체험 및 취업지원 등을 제공하여, 학교 밖 청소년들이 건강한 사회구성원으로 성장할 수 있도록 지원",여성가족부
1123,복지.문화,학교 밖 청소년 건강검진,학교 밖 청소년이 건강하게 성장할 수 있도록 지원하기 위하여 학교 밖 청소년을 대상으로 정기 건강검진 시행,여성가족부
1124,교육,이공계 전문기술 연수(석·박사) 사업,이공계 석학 및 박사에게 기업이 필요로 하는 실무경험을 쌓을 수 있도록 훈련 기회를 제공하여 현장맞춤형 능력 개발,과학기술정보통신부
1125,일자리,벤처기업 공동채용 지원,"중소기업 채용연계 및 채용박람회, 채용설명회, 기업탐방프로그램, 신입사원 공동 훈련 등 중소기업 채용 일련 과정 지원",중소벤처기업부
1126,일자리,도전! K-스타트업,"(예비)창업자를 대상으로 범부처 창업경진대회를 개최하여 유망한 창업 아이템을 발굴하고, 우수 아이템을 포상하여 창업분위기 확산",중소벤처기업부
1127,주거,주거급여(맞춤형 급여),주거안정과 주거생활 향상을 위하여 일정 소득 이하 국민에게 주거급여를 지원,국토교통부
1128,교육,Hi(고졸자취업지원)프로그램,"고교졸업 예정 및 졸업생의 자기탐색, 일자리탐색, 구직기술 수준 제고를 위한 참여식 집단상담 프로그램",고용노동부
1129,교육,산업계 주도 청년 맞춤형 훈련,"산업별 협,단체(산업별인적자원개발위원회 등)가 청년층(청년 구직자,재직자 등)을 주요 대상으로 산업계,기업이 필요로 하는 훈련을 제공하는 제도",고용노동부
1130,주거,전문기술인재장학금,취업역량 개발 노력이 우수한 전문대 학생이 안정적으로 학업 및 자기개발에 정진할 수 있도록 지원하여 전문기술인재로 육성,한국장학재단
1131,일자리,글로벌 핵심인재 양성지원 사업,4차 산업혁명 ICT 유망기술 및 혁신성장 선도기술 분야 석박사급 고급인재 육성을 위한 핵심인재 양성지원 사업,과학기술정보통신부
1132,일자리,항공분야취업지원,"취업박람회, 취업지원센터 운영, 해외취업 지원프로그램, 채용관리시스템 등 항공산업분야 일자리 창출과 구직자들의 취업지원을 위한 통합 플랫폼",국토교통부
1133,교육,여성새로일하기센터,"혼인,임신,출산,육아 등으로 경력이 단절된 여성 등에게 취업 상담, 직업교육훈련, 인턴십 및 취업 후 사후관리 등 종합적인 취업서비스 지원",여성가족부
1134,일자리,창업지원형 기숙사 입주생 모집 사업,"기술창업, 사회문제해결형 기업(소셜벤처) 등 다양한 유형의 창업을 준비하는 대학생들이 시간, 공간에 구애 받지 않고 창업에 전념할 수 있도록 양질의 주거 환경을 무상으로 지원하기 위해 만들어진 공간 지원 사업",교육부
1135,교육,이공계 전문기술 연수(학사)사업,"이공계 대졸 미취업자(전문대졸 포함)에게 전문, 기업현장 연수 등 직업 교육 기회를 제공함으로써 실무능력을 강화하여 청년 실업문제 및 이공계 인력의 수급 불균형 해소",과학기술정보통신부
1136,일자리,TIPS(민간투자주도형 기술창업지원)사업,"(Tech Incubator Program for Startup)성공벤처인 등이 주도하는 민간의 액셀러레이터(팁스 운영사, 엔젤투자, 보육 전문회사)가 유망한 기술창업팀을 선발하여 투자, 보육하면, 정부가 창업사업화, 해외마케팅 등을 매칭 지원하는 민간주도의 기술창업 프로그램",중소벤처기업부
1137,교육,경력단절여성 취업지원프로그램,"취업을 원하나 출산, 육아로 인해 경력이 단절된 여성이 기초직업능력을 제고함으로써 재취업 분야 결정 등 경력계획을 수립할 수 있도록 지원하고, 재취업 분야 진입을 위한 방안을 실행할 수 있도록 지원하는 프로그램",고용노동부
1138,주거,청년형 ISA 운영,청년층의 효과적인 자산 관리를 통해 재산증식 지원,금융위원회
1139,일자리,WFK-KOICA NGO봉사단,개발도상국에서 현지주민들과 함께 생활하며 파견국가의 발전에 기여하고 해외 진출 역량 제고,외교부
1140,일자리,대한한의약해외의료봉사단(KOMSTA),"한의학으로 고통받고 있는 해외 현지 주민들을 치료하고, 지속적인 의료봉사 및 질병 예방교육 등 의료봉사활동 지원",외교부
1141,주거,(건강보험) 임의계속가입제도,실업자에 대한 경제적 부담을 완화하고자 임의계속가입자 보험료가 지역보험료 보다 적은 경우 임의계속보험료로 납부할 수 있도록 하는 제도,보건복지부
1142,교육,청년층직업지도프로그램(CAP@),"청년 취업준비생의 직업진로 선택을 지원하고, 취업서류 작성 및 면접기술 강화 등 구직기술을 강화하기 위한 프로그램(4일, 총24시간)",고용노동부
1143,주거,손해금(지연배상금) 감면제도,"상환능력은 부족하지만, 채무상환의지가 있을 때 손해금(지연배상금)을 감면해주어 채무상환 부담을 덜어주는 신용회복지원제도",교육부
1144,주거,실업급여,고용보험 가입 근로자가 실직하여 재취업 활동을 하는 기간에 소정의 급여를 지급함으로써 실업으로 인한 생계불안을 극복하고 생활의 안정을 도와주며 재취업의 기회를 지원해주는 제도(구직급여+취업촉진수당),고용노동부
1145,일자리,청년 중소기업 취업자 소득세 감면,"청년 등이 일정요건을 충족하는 중소기업에 취업하는 경우, 취업일로부터 3년(5년)이 되는 날 속하는 달의 말일까지 발생한 소득에 대한 소득세의 일정율을 감면",기획재정부
1146,교육,성취프로그램,"구직자의 정신적, 신체적 건강의 악화를 예방하고 강한 재취업 의욕을 부여함으로써 성공적인 취업 가능성을 높여주며, 구직활동에 필요한 다양한 기술을 향상시켜 새 직장에 대한 만족도를 증진하는 프로그램",고용노동부
1147,주거,근로자 생활안정자금 융자사업,"생계곤란을 겪는 근로자에게 의료비, 혼례비, 장례비, 노부모요양비 등의 생계비를 저리로 융자하여 생활안정 및 근로의욕을 고취하기 위한 사업",고용노동부
1148,일자리,창업존 운영,유망 (예비)창업기업을 발굴하여 입주공간 및 맞춤형 보육 프로그램을 제공함으로서 창업기업의 성장을 집중 지원,중소벤처기업부
1149,일자리,창업보육센터 지원사업,중소벤처기업부 지정 창업보육센터를 통해 (예비)창업기업에 사무공간 제공 및 각종 경영?기술을 지원,중소벤처기업부
1150,일자리,생애최초 청년창업 지원사업,"생애최초로 기술창업에 도전하는 청년(만 29세 이하) 예비창업자를 발굴·육성하기 위한 사업으로 창업·기술 교육, 전문 멘토링, 시제품 개발비 등을 지원하여 창업성공률 제고",중소벤처기업부
1151,일자리,이공분야 학술연구지원사업 박사과정생 연구장려금,박사과정생(수료생 포함)의 논문 주제와 관련된 창의적?도전적 아이디어를 학생이 주도적?독립적으로 연구하도록 지원,교육부
1152,복지.문화,평생교육이용권(바우처),저소득층 성인의 평생 교육 참여 기회를 확대하기 위해 교육비를 지원하는 제도,-
1153,주거,제대군인 전직지원금,"실업상태의 군인연금비대상 장기복무제대군인이 전역후 6개월 이내에 취, 창업 촉진을 위한 전직지원금 지원",국가보훈처
1154,복지.문화,여성청소년 생리대 바우처 지원,여성청소년의 건강한 성장 지원을 위한 생리대 바우처 지원,여성가족부
1155,교육,연구개발서비스 청년인재 양성사업,산학협력을 통해 기업 수요에 기반한 연구개발서비스 분야 청년인재를 양성하고 관련 기업의 우수인력 확보를 촉진,과학기술정보통신부
